district_name,state_id,createdby,lastmodifiedby,createddate,lastmodifieddate
Anantapur,1,admin@admin.com,,,
Chittoor,1,admin@admin.com,,,
East Godavari,1,admin@admin.com,,,
Alluri Sitarama Raju,1,admin@admin.com,,,
Anakapalli,1,admin@admin.com,,,
Annamaya,1,admin@admin.com,,,
Bapatla,1,admin@admin.com,,,
Eluru,1,admin@admin.com,,,
Guntur,1,admin@admin.com,,,
Kadapa,1,admin@admin.com,,,
Kakinada,1,admin@admin.com,,,
Konaseema,1,admin@admin.com,,,
Krishna,1,admin@admin.com,,,
Kurnool,1,admin@admin.com,,,
Manyam,1,admin@admin.com,,,
N T Rama Rao,1,admin@admin.com,,,
Nandyal,1,admin@admin.com,,,
Nellore,1,admin@admin.com,,,
Palnadu,1,admin@admin.com,,,
Prakasam,1,admin@admin.com,,,
Sri Balaji,1,admin@admin.com,,,
Sri Satya Sai,1,admin@admin.com,,,
Srikakulam,1,admin@admin.com,,,
Visakhapatnam,1,admin@admin.com,,,
Vizianagaram,1,admin@admin.com,,,
West Godavari,1,admin@admin.com,,,
Anjaw,2,admin@admin.com,,,
Siang,2,admin@admin.com,,,
Changlang,2,admin@admin.com,,,
Dibang Valley,2,admin@admin.com,,,
East Kameng,2,admin@admin.com,,,
East Siang,2,admin@admin.com,,,
Kamle,2,admin@admin.com,,,
Kra Daadi,2,admin@admin.com,,,
Kurung Kumey,2,admin@admin.com,,,
Lepa Rada,2,admin@admin.com,,,
Lohit,2,admin@admin.com,,,
Longding,2,admin@admin.com,,,
Lower Dibang Valley,2,admin@admin.com,,,
Lower Siang,2,admin@admin.com,,,
Lower Subansiri,2,admin@admin.com,,,
Namsai,2,admin@admin.com,,,
Pakke Kessang,2,admin@admin.com,,,
Papum Pare,2,admin@admin.com,,,
Shi Yomi,2,admin@admin.com,,,
Tawang,2,admin@admin.com,,,
Tirap,2,admin@admin.com,,,
Upper Siang,2,admin@admin.com,,,
Upper Subansiri,2,admin@admin.com,,,
West Kameng,2,admin@admin.com,,,
West Siang,2,admin@admin.com,,,
Bajali,3,admin@admin.com,,,
Baksa,3,admin@admin.com,,,
Barpeta,3,admin@admin.com,,,
Biswanath,3,admin@admin.com,,,
Bongaigaon,3,admin@admin.com,,,
Cachar,3,admin@admin.com,,,
Charaideo,3,admin@admin.com,,,
Chirang,3,admin@admin.com,,,
Darrang,3,admin@admin.com,,,
Dhemaji,3,admin@admin.com,,,
Dhubri,3,admin@admin.com,,,
Dibrugarh,3,admin@admin.com,,,
Dima Hasao,3,admin@admin.com,,,
Goalpara,3,admin@admin.com,,,
Golaghat,3,admin@admin.com,,,
Hailakandi,3,admin@admin.com,,,
Hojai,3,admin@admin.com,,,
Jorhat,3,admin@admin.com,,,
