state_name,createdby,lastmodifiedby,createddate,lastmodifieddate
Andhra Pradesh,admin@admin.com,,,
Arunachal Pradesh,admin@admin.com,,,
Assam,admin@admin.com,,,
Bihar ,admin@admin.com,,,
Chhattisgarh ,admin@admin.com,,,
Goa ,admin@admin.com,,,
Gujarat ,admin@admin.com,,,
Haryana ,admin@admin.com,,,
Himachal Pradesh,admin@admin.com,,,
Jammu Kashmir,admin@admin.com,,,
Jharkhand ,admin@admin.com,,,
Karnataka ,admin@admin.com,,,
Kerala ,admin@admin.com,,,
Madhya Pradesh,admin@admin.com,,,
Maharashtra ,admin@admin.com,,,
Manipur ,admin@admin.com,,,
Meghalaya ,admin@admin.com,,,
Mizoram ,admin@admin.com,,,
Nagaland ,admin@admin.com,,,
Odisha ,admin@admin.com,,,
Punjab ,admin@admin.com,,,
Rajasthan ,admin@admin.com,,,
Sikkim ,admin@admin.com,,,
Tamil Nadu,admin@admin.com,,,
Telangana ,admin@admin.com,,,
Tripura ,admin@admin.com,,,
Uttar Pradesh,admin@admin.com,,,
Uttarakhand ,admin@admin.com,,,
West Bengal,admin@admin.com,,,
Andaman Nicobar,admin@admin.com,,,
Chandigarh ,admin@admin.com,,,
Dadra and Nagar,admin@admin.com,,,
Delhi,admin@admin.com,,,
Lakshadweep ,admin@admin.com,,,
Ladakh,admin@admin.com,,,
Puducherry ,admin@admin.com,,,
